Site Name,Location,Price per Day,Additional Services
Steelworks Motion Yard,"Pittsburgh, PA",$850,"Heavy Robotics, Load Simulation, Steelwork Terrain"
Greenfield Warehouse Test,"Louisville, KY",$820,"Indoor Navigation, Pallet Systems, Conveyor Access"
BotBarn Agility Zone,"Lexington, KY",$760,"Livestock Interaction, Mud Tracks, Gates"
MechaDock Assembly Site,"Mobile, AL",$890,"Dockside Equipment, Container Manipulation"
AutoStack Robotics Zone,"Tulsa, OK",$720,"Vertical Climb Robots, Warehouse Testing"
TechLine Precision Field,"Rochester, NY",$730,"Assembly Line Robotics, Fine Motor Sensors"
CanyonBot Ridge,"Moab, UT",$800,"Extreme Terrain Bots, GPS Accuracy Tests"
Midbay Disaster Sim Lab,"Norfolk, VA",$870,"Rescue Bots, Collapsed Structure Mockups"
FrostBot Cold Field,"Minneapolis, MN",$680,"Cold Endurance Bots, Slippery Surface Navigation"
HiveTrack Swarm Zone,"Provo, UT",$750,"Swarm Robotics, Multi-Unit Coordination"
EchoBot Indoor Arena,"Buffalo, NY",$710,"SLAM Navigation, Indoor Drone Testbed"
BayPort Robo Testbed,"Oakland, CA",$830,"Port Robotics, Cargo Sorting Tech"
RedClay Terrain Track,"Macon, GA",$640,"Soil Response Testing, Robotic Mobility"
MetroBot Urban Trial,"Newark, NJ",$780,"Sidewalk Robots, Crosswalk Timing Sensors"
